Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Country
M,25,182,90,Bulgaria,BUL,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Air Pistol, 10 metres",Gold,Bulgaria
M,33,182,90,Bulgaria,BUL,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Air Pistol, 10 metres",Bronze,Bulgaria
M,37,182,90,Bulgaria,BUL,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold,Bulgaria
M,23,160,67,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Lightweight,Gold,Russia
M,26,179,87,Turkey,TUR,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold,Turkey
M,26,178,75,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Boxing,Boxing Men's Light-Heavyweight,Silver,Russia
M,30,178,75,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Middleweight,Silver,Russia
M,32,178,63,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 50 kilometres Walk,Silver,Hungary
M,24,188,115,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Hammer Throw,Gold,Hungary
M,30,184,103,Hungary,HUN,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze,Hungary
M,21,NA,NA,Hungary,HUN,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's 880 yard Freestyle,Bronze,Hungary
M,21,NA,NA,Hungary,HUN,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's One Mile Freestyle,Silver,Hungary
M,22,NA,NA,Hungary,HUN,1956 Summer,1956,Summer,Melbourne,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze,Hungary
M,21,175,73,Hungary,HUN,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze,Hungary
M,22,164,60,Brazil,BRA,2012 Summer,2012,Summer,London,Judo,Judo Men's Extra-Lightweight,Bronze,Brazil
M,21,178,73,Japan,JPN,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Breaststroke,Gold,Japan
M,21,178,73,Japan,JPN,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Breaststroke,Gold,Japan
M,21,178,73,Japan,JPN,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,Japan
M,25,178,73,Japan,JPN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Breaststroke,Gold,Japan
M,25,178,73,Japan,JPN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Breaststroke,Gold,Japan
M,14,NA,NA,Japan,JPN,1932 Summer,1932,Summer,Los Angeles,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold,Japan
M,22,NA,NA,Japan,JPN,1952 Summer,1952,Summer,Helsinki,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver,Japan
M,37,NA,NA,South Africa,RSA,1912 Summer,1912,Summer,Stockholm,Tennis,Tennis Men's Singles,Silver,South Africa
M,37,NA,NA,South Africa,RSA,1912 Summer,1912,Summer,Stockholm,Tennis,Tennis Men's Doubles,Gold,South Africa
M,36,NA,NA,United States,USA,1932 Summer,1932,Summer,Los Angeles,Equestrianism,"Equestrianism Men's Dressage, Team",Bronze,USA
M,17,172,60,Kenya,KEN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 800 metres,Bronze,Kenya
M,26,186,77,Kenya,KEN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,Bronze,Kenya
M,24,NA,NA,Finland,FIN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Discus Throw,Silver,Finland
M,19,172,66,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,"Athletics Men's 1,500 metres",Silver,USA
F,24,162,42,Kenya,KEN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 3,000 metres Steeplechase",Silver,Kenya
M,19,NA,NA,Japan,JPN,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Backstroke,Gold,Japan
M,23,NA,NA,Japan,JPN,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 100 metres Backstroke,Bronze,Japan
M,40,171,72,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Dressage, Individual",Gold,Russia
M,23,180,65,Finland,FIN,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Light-Welterweight,Bronze,Finland
M,21,184,83,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres",Gold,Germany
F,22,170,58,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Athletics,"Athletics Women's 1,500 metres",Bronze,Germany
M,30,NA,NA,Czechoslovakia,TCH,1936 Summer,1936,Summer,Berlin,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver,Czech Republic
M,26,NA,NA,Sweden,SWE,1932 Summer,1932,Summer,Los Angeles,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze,Sweden
M,26,182,79,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Cycling,Cycling Men's 100 kilometres Team Time Trial,Bronze,Czech Republic
M,28,171,65,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze,France
F,15,180,64,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 100 metres Backstroke,Silver,Germany
M,28,187,82,Germany,GER,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold,Germany
F,29,178,84,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's Discus Throw,Bronze,Hungary
M,23,174,65,Germany,GER,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's Foil, Individual",Gold,Germany
M,22,185,80,Germany,GER,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 100 metres Freestyle,Bronze,Germany
F,20,164,55,Germany,GER,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Women's 4 x 100 metres Relay,Silver,Germany
M,29,NA,NA,Germany,GER,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Men's 200 metres Breaststroke,Bronze,Germany
M,27,174,77.5,Russia,RUS,1912 Summer,1912,Summer,Stockholm,Wrestling,"Wrestling Men's Middleweight A, Greco-Roman",Silver,Russia
F,28,190,90,Germany,GER,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Shot Put,Silver,Germany
M,23,NA,NA,Kristiania Roklub-1,NOR,1912 Summer,1912,Summer,Stockholm,Rowing,"Rowing Men's Coxed Fours, Outriggers",Bronze,Norway
M,27,176,80,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold,Russia
M,31,176,80,Latvia,LAT,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver,Latvia
M,35,176,80,Latvia,LAT,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver,Latvia
M,44,NA,NA,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",Bronze,Germany
M,30,NA,NA,Denmark,DEN,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",Silver,Denmark
M,24,174,69,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Men's Windsurfer,Bronze,Australia
F,23,175,66,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxless Pairs,Gold,Germany
M,23,191,81,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Butterfly,Silver,Australia
M,31,185,103,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Hammer Throw,Gold,Russia
M,35,185,103,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Hammer Throw,Silver,Russia
M,19,169,61,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Parallel Bars,Bronze,Russia
M,23,169,61,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Horse Vault,Silver,Russia
M,23,169,61,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Pommelled Horse,Gold,Russia
M,32,184,66,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Dressage, Individual",Bronze,Germany
M,32,184,66,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold,Germany
M,40,184,66,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Equestrianism,"Equestrianism Mixed Dressage, Individual",Bronze,Germany
M,48,184,66,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Dressage, Individual",Gold,Germany
M,48,184,66,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold,Germany
M,52,184,66,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold,Germany
M,25,165,57,Hungary,HUN,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Bronze,Hungary
M,28,176,82,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Gold,Germany
M,20,195,105,Ukraine,UKR,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Super-Heavyweight,Gold,Ukraine
F,18,182,70,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 800 metres Freestyle,Silver,Ukraine
F,18,182,70,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Individual Medley,Gold,Ukraine
F,18,182,70,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 400 metres Individual Medley,Gold,Ukraine
F,22,182,70,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Individual Medley,Gold,Ukraine
F,22,182,70,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 400 metres Individual Medley,Gold,Ukraine
F,27,163,73,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Women's Air Pistol, 10 metres",Gold,Russia
M,25,183,64,Germany,GER,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Men's Road Race, Individual",Bronze,Germany
M,27,180,80,Austria,AUT,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxless Pairs,Bronze,Austria
M,30,180,80,Austria,AUT,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxless Pairs,Silver,Austria
M,25,182,105,Russia,RUS,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Heavyweight,Silver,Russia
F,21,178,65,Sweden,SWE,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Heptathlon,Gold,Sweden
M,22,191,85,Germany,GER,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Points Race,Silver,Germany
M,38,NA,NA,Poland,POL,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Sculpturing, Medals And Reliefs",Gold,Poland
M,42,NA,NA,Poland,POL,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Sculpturing, Reliefs",Silver,Poland
M,25,174,74,Estonia,EST,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Decathlon,Bronze,Estonia
M,26,163,51,Netherlands,NED,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Fours,Bronze,Netherlands
M,26,192,82,Russia,RUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's High Jump,Gold,Russia
F,18,170,60,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 100 metres,Bronze,Poland
M,26,187,128,Czechoslovakia,TCH,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze,Czech Republic
F,18,164,60,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 100 metres Butterfly,Bronze,Germany
M,23,181,65,Sweden,SWE,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Three Person Keelboat,Silver,Sweden
F,17,173,60,Sweden,SWE,1972 Summer,1972,Summer,Munich,Diving,Diving Women's Springboard,Silver,Sweden
F,17,173,60,Sweden,SWE,1972 Summer,1972,Summer,Munich,Diving,Diving Women's Platform,Gold,Sweden
F,21,173,60,Sweden,SWE,1976 Summer,1976,Summer,Montreal,Diving,Diving Women's Platform,Silver,Sweden
M,29,191,98,Slovakia,SVK,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Silver,Slovakia
M,24,NA,NA,Switzerland,SUI,1948 Summer,1948,Summer,London,Rowing,Rowing Men's Coxed Fours,Silver,Switzerland
F,50,NA,NA,Great Britain,GBR,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",Silver,UK
F,24,168,65,Netherlands,NED,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Women's Road Race, Individual",Gold,Netherlands
F,28,168,65,Netherlands,NED,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Women's Road Race, Individual",Bronze,Netherlands
M,41,NA,NA,Sweden,SWE,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Running Target, Single Shot, Team",Gold,Sweden
M,24,178,74,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver,Germany
M,22,195,88,Germany,GER,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Pairs,Gold,Germany
M,29,NA,NA,Denmark,DEN,1948 Summer,1948,Summer,London,Rowing,Rowing Men's Coxed Fours,Bronze,Denmark
M,30,183,80,Denmark,DEN,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver,Denmark
M,21,185,79,Norway,NOR,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Gold,Norway
M,36,NA,NA,Switzerland,SUI,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",Silver,Switzerland
M,28,165,61,Hong Kong-2,HKG,2004 Summer,2004,Summer,Athina,Table Tennis,Table Tennis Men's Doubles,Silver,China
F,19,165,NA,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Golf,Golf Women's Individual,Silver,New Zealand
M,29,173,63,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Bronze,Japan
F,27,174,69,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver,Hungary
F,31,174,69,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold,Hungary
F,35,174,69,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver,Hungary
M,25,153,52,Japan,JPN,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Gold,Japan
M,23,183,79,Germany,GER,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze,Germany
M,21,192,102,Germany,GER,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Heavyweight,Bronze,Germany
M,24,181,80,Poland,POL,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Single Sculls,Bronze,Poland
M,33,181,80,Poland,POL,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Single Sculls,Bronze,Poland
M,23,186,80,Germany,GER,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Foil, Team",Gold,Germany
F,21,181,75,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Javelin Throw,Bronze,Germany
M,24,183,95,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Discus Throw,Bronze,USA
F,23,171,62,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 400 metres,Gold,Germany
M,32,160,52,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Bronze,Russia
F,28,168,58,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's epee, Team",Bronze,Russia
F,19,157,46,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,Silver,USA
M,24,197,125,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Heavyweight,Bronze,Czech Republic
M,22,NA,NA,Hungary,HUN,1928 Summer,1928,Summer,Amsterdam,Boxing,Boxing Men's Flyweight,Gold,Hungary
M,27,173,74,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Gold,Hungary
M,27,185,NA,Hungary,HUN,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Javelin Throw,Bronze,Hungary
M,22,170,60,Kenya,KEN,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze,Kenya
M,30,180,67,Kenya,KEN,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver,Kenya
M,24,169,78,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Lightweight,Gold,Japan
M,28,169,78,Japan,JPN,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Half-Middleweight,Silver,Japan
M,NA,175,64,Kenya,KEN,1968 Summer,1968,Summer,Mexico City,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver,Kenya
M,22,170,60,Kenya,KEN,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 10,000 metres",Bronze,Kenya
M,18,180,96,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze,Russia
F,24,162,56,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Diving,Diving Women's Springboard,Silver,Germany
F,22,NA,NA,Germany,GER,1936 Summer,1936,Summer,Berlin,Diving,Diving Women's Platform,Bronze,Germany
F,24,162,60,Germany,GER,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's 80 metres Hurdles,Silver,Germany
F,28,162,60,Germany,GER,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's 80 metres Hurdles,Bronze,Germany
M,18,178,72,Germany,GER,1960 Summer,1960,Summer,Roma,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold,Germany
M,16,NA,NA,Japan,JPN,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Breaststroke,Silver,Japan
M,20,NA,NA,Japan,JPN,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 200 metres Breaststroke,Bronze,Japan
M,18,NA,NA,United States,USA,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Men's 100 metres Backstroke,Gold,USA
F,17,183,85,Netherlands,NED,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 100 metres Butterfly,Silver,Netherlands
F,21,183,85,Netherlands,NED,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 200 metres Butterfly,Gold,Netherlands
M,23,176,93,Greece,GRE,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver,Greece
M,28,172,81.5,Finland,FIN,1928 Summer,1928,Summer,Amsterdam,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold,Finland
M,32,172,81.5,Finland,FIN,1932 Summer,1932,Summer,Los Angeles,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold,Finland
M,37,181,85,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold,Russia
M,28,176,80,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,Silver,Germany
F,21,170,74,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Javelin Throw,Gold,Croatia
F,14,170,61,United States,USA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 200 metres Breaststroke,Silver,USA
F,18,170,61,United States,USA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 200 metres Individual Medley,Gold,USA
F,18,170,61,United States,USA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 400 metres Individual Medley,Gold,USA
M,22,194,84,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Single Sculls,Silver,Germany
M,30,194,84,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Single Sculls,Silver,Germany
M,35,194,84,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Single Sculls,Silver,Germany
M,19,NA,NA,United States,USA,1920 Summer,1920,Summer,Antwerpen,Boxing,Boxing Men's Welterweight,Bronze,USA
M,21,193,115,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Gold,Russia
M,25,193,115,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Gold,Russia
M,27,175,66,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's epee, Individual",Silver,Hungary
M,22,168,57.5,Finland,FIN,1912 Summer,1912,Summer,Stockholm,Athletics,"Athletics Men's 5,000 metres",Gold,Finland
M,22,168,57.5,Finland,FIN,1912 Summer,1912,Summer,Stockholm,Athletics,"Athletics Men's 10,000 metres",Gold,Finland
M,22,168,57.5,Finland,FIN,1912 Summer,1912,Summer,Stockholm,Athletics,"Athletics Men's Cross-Country, Individual",Gold,Finland
M,30,168,57.5,Finland,FIN,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's Marathon,Gold,Finland
M,27,190,89.5,Finland,FIN,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Gold,Finland
M,24,157,62,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Featherweight,Gold,Russia
M,26,174,80,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Gold,Russia
M,NA,NA,NA,Greece,GRE,1896 Summer,1896,Summer,Athina,Cycling,Cycling Men's 100 kilometres,Silver,Greece
M,25,178,82,Bulgaria,BUL,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze,Bulgaria
M,27,169,74,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Middleweight,Bronze,Bulgaria
M,22,177,63,Bulgaria,BUL,1976 Summer,1976,Summer,Montreal,Boxing,Boxing Men's Light-Welterweight,Bronze,Bulgaria
M,25,185,89,Israel,ISR,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Bronze,Israel
M,35,NA,NA,Finland,FIN,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres, Team",Bronze,Finland
M,32,NA,NA,Finland,FIN,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Running Target, Single Shot, Team",Silver,Finland
M,32,NA,NA,Finland,FIN,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Running Target, Double Shot, Team",Bronze,Finland
M,18,182,75,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's epee, Team",Bronze,Russia
M,22,182,75,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's epee, Individual",Silver,Russia
M,22,182,75,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's epee, Team",Bronze,Russia
M,30,182,75,Russia,RUS,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's epee, Individual",Gold,Russia
M,34,182,75,Russia,RUS,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's epee, Individual",Bronze,Russia
M,27,174,64,Russia,RUS,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Road Race, Individual",Bronze,Russia
F,22,182,92,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Shot Put,Silver,Russia
M,34,NA,NA,Russia,RUS,1908 Summer,1908,Summer,London,Figure Skating,Figure Skating Men's Special Figures,Gold,Russia
M,28,180,80,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Gold,Hungary
M,32,180,80,Hungary,HUN,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze,Hungary
F,20,169,60,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's Long Jump,Gold,Russia
F,29,158,51,India,IND,2012 Summer,2012,Summer,London,Boxing,Boxing Women's Flyweight,Bronze,India
M,32,196,125,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Shot Put,Gold,Poland
M,24,182,93,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver,Hungary
F,18,182,59,Russia,RUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Backstroke,Silver,Russia
F,27,169,60,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 100 metres Hurdles,Gold,Russia
M,22,173,73,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold,Russia
F,17,150,48,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Individual All-Around,Silver,Russia
M,28,178,100,Bulgaria,BUL,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold,Bulgaria
M,20,180,64,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Light-Welterweight,Silver,Russia
F,32,NA,NA,Poland,POL,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Graphic Arts",Silver,Poland
F,21,156,48,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Extra-Lightweight,Bronze,Japan
F,22,168,57,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 100 metres,Gold,Russia
