Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Country
F,17,174,57,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 200 metres Backstroke,Gold,Hungary
F,17,174,57,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 400 metres Individual Medley,Gold,Hungary
F,21,174,57,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 200 metres Backstroke,Gold,Hungary
F,21,174,57,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 400 metres Individual Medley,Bronze,Hungary
F,19,160,49,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Women's Uneven Bars,Bronze,Hungary
M,29,198,104,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Silver,UK
M,33,198,104,Great Britain,GBR,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Bronze,UK
M,35,NA,NA,Germany,GER,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Music, Compositions For Orchestra",Gold,Germany
M,36,NA,NA,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Modern Pentathlon,Modern Pentathlon Men's Team,Silver,Sweden
F,29,167,NA,New Zealand,NZL,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Women's Two Person Dinghy,Silver,New Zealand
M,NA,NA,NA,Turkey,TUR,1956 Summer,1956,Summer,Melbourne,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Bronze,Turkey
M,23,172,59,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,Japan
M,23,188,77,West Germany,FRG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze,Germany
M,38,NA,NA,Germany,GER,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Literature, Epic Works",Silver,Germany
